Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
2233,Calendar year,2021,7260,Million pounds,Exports,Chicken,Livestock/Dairy
2234,Market year,2021,9370,Thousand,Number of cows,Dairy,Livestock/Dairy
2235,Market year,2021,17.6,Dollars per hundredweight,All milk price,Dairy,Livestock/Dairy
2236,Market year,2021,24070,Pounds,Milk per cow,Dairy,Livestock/Dairy
2237,Market year,2021,226,Billion pounds,Milk production,Dairy,Livestock/Dairy
2238,Market year,2021,222,Billion pounds,Commercial use: Milkfat basis,Dairy,Livestock/Dairy
2239,Market year,2021,183,Billion pounds,Commercial use: Skim solids,Dairy,Livestock/Dairy
2240,Calendar year,2021,288,Number per capita,Per capita disappearance,Egg,Livestock/Dairy
2241,Calendar year,2021,31,Million dozen,Beginning stocks,Egg,Livestock/Dairy
2242,Calendar year,2021,33,Million dozen,Ending stocks,Egg,Livestock/Dairy
2243,Calendar year,2021,16,Million dozen,Imports,Egg,Livestock/Dairy
2244,Calendar year,2021,9390,Million dozen,Production,Egg,Livestock/Dairy
2245,Calendar year,2021,9437,Million dozen,Total supply,Egg,Livestock/Dairy
2246,Calendar year,2021,7964,Million dozen,Disappearance,Egg,Livestock/Dairy
2247,Calendar year,2021,1105,Million dozen,Hatching use,Egg,Livestock/Dairy
2248,Calendar year,2021,335,Million dozen,Exports,Egg,Livestock/Dairy
2249,Calendar year,2021,88.4,Cents per dozen,"Eggs, farm price",Egg,Livestock/Dairy
2250,Calendar year,2021,109.5,Cents per dozen,"New York, Grade A large price",Egg,Livestock/Dairy
2251,Calendar year,2021,58,Pounds per capita,Beef,"Per capita meat consumption, retail weight",Livestock/Dairy
2252,Calendar year,2021,96.9,Pounds per capita,Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy
2253,Calendar year,2021,1.1,Pounds per capita,Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy
2254,Calendar year,2021,111,Pounds per capita,Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy
2255,Calendar year,2021,1.4,Pounds per capita,Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy
2256,Calendar year,2021,51.6,Pounds per capita,Pork,"Per capita meat consumption, retail weight",Livestock/Dairy
2257,Calendar year,2021,15.7,Pounds per capita,Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy
2258,Calendar year,2021,0.2,Pounds per capita,Veal,"Per capita meat consumption, retail weight",Livestock/Dairy
2259,Calendar year,2021,114,Pounds per capita,Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2260,Calendar year,2021,224.9,Pounds per capita,Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2261,Calendar year,2021,78600,Thousand head,"Hog inventory Dec. 1, previous year",Pork,Livestock/Dairy
2262,Calendar year,2021,51.83,Dollars per hundredweight,"Hogs, farm price",Pork,Livestock/Dairy
2263,Calendar year,2021,46.5,Dollars per hundredweight,"National base, live equivalent price",Pork,Livestock/Dairy
2264,Calendar year,2021,525,Million pounds,Beginning stocks,Pork,Livestock/Dairy
2265,Calendar year,2021,575,Million pounds,Ending stocks,Pork,Livestock/Dairy
2266,Calendar year,2021,945,Million pounds,Imports,Pork,Livestock/Dairy
2267,Calendar year,2021,28510,Million pounds,Commercial production,Pork,Livestock/Dairy
2268,Calendar year,2021,14,Million pounds,Farm production,Pork,Livestock/Dairy
2269,Calendar year,2021,28524,Million pounds,Total production,Pork,Livestock/Dairy
2270,Calendar year,2021,29994,Million pounds,Total supply,Pork,Livestock/Dairy
2271,Calendar year,2021,22069,Million pounds,Total disappearance,Pork,Livestock/Dairy
2272,Calendar year,2021,7350,Million pounds,Exports,Pork,Livestock/Dairy
2273,Calendar year,2021,69.9,Cents per pound,"Turkey, farm price",Turkey,Livestock/Dairy
2274,Calendar year,2021,105.5,Cents per pound,"Hen turkeys, National price",Turkey,Livestock/Dairy
2275,Calendar year,2021,215,Million pounds,Beginning stocks,Turkey,Livestock/Dairy
2276,Calendar year,2021,230,Million pounds,Ending stocks,Turkey,Livestock/Dairy
2277,Calendar year,2021,5770,Million pounds,Production,Turkey,Livestock/Dairy
2278,Calendar year,2021,6001,Million pounds,Total supply,Turkey,Livestock/Dairy
2279,Calendar year,2021,5201,Million pounds,Disappearance,Turkey,Livestock/Dairy
2280,Calendar year,2021,570,Million pounds,Exports,Turkey,Livestock/Dairy
2281,Calendar year,2022,30868,Thousand head,Beef cow inventory,Beef,Livestock/Dairy
2282,Calendar year,2022,95000,Thousand head,Cattle inventory,Beef,Livestock/Dairy
2283,Calendar year,2022,40259,Thousand head,Total cow inventory,Beef,Livestock/Dairy
2284,Calendar year,2022,120.99,Dollars per hundredweight,"Steers, 5-area price",Beef,Livestock/Dairy
2285,Calendar year,2022,121.32,Dollars per hundredweight,"Beef cattle, farm price",Beef,Livestock/Dairy
2286,Calendar year,2022,166.09,Dollars per hundredweight,"Calves, farm price",Beef,Livestock/Dairy
2287,Calendar year,2022,148.25,Dollars per hundredweight,"Feeder steers, Oklahoma City price",Beef,Livestock/Dairy
2288,Calendar year,2022,650,Million pounds,Beginning stocks,Beef,Livestock/Dairy
2289,Calendar year,2022,650,Million pounds,Ending stocks,Beef,Livestock/Dairy
2290,Calendar year,2022,3048,Million pounds,Imports,Beef,Livestock/Dairy
2291,Calendar year,2022,26916,Million pounds,Commercial production,Beef,Livestock/Dairy
2292,Calendar year,2022,69,Million pounds,Farm production,Beef,Livestock/Dairy
2293,Calendar year,2022,26985,Million pounds,Total production,Beef,Livestock/Dairy
2294,Calendar year,2022,30683,Million pounds,Total supply,Beef,Livestock/Dairy
2295,Calendar year,2022,26940,Million pounds,Total disappearance,Beef,Livestock/Dairy
2296,Calendar year,2022,3093,Million pounds,Exports,Beef,Livestock/Dairy
2297,Calendar year,2022,85.2,Cents per pound,National composite price,Chicken,Livestock/Dairy
2298,Calendar year,2022,43.5,Cents per pound,"Broilers, farm price",Chicken,Livestock/Dairy
2299,Calendar year,2022,915,Million pounds,Beginning stocks,Chicken,Livestock/Dairy
2300,Calendar year,2022,958,Million pounds,Ending stocks,Chicken,Livestock/Dairy
2301,Calendar year,2022,45570,Million pounds,Federally inspected slaughter,Chicken,Livestock/Dairy
2302,Calendar year,2022,45082,Million pounds,Production,Chicken,Livestock/Dairy
2303,Calendar year,2022,46153,Million pounds,Total supply,Chicken,Livestock/Dairy
2304,Calendar year,2022,37712,Million pounds,Disappearance,Chicken,Livestock/Dairy
2305,Calendar year,2022,7482,Million pounds,Exports,Chicken,Livestock/Dairy
2306,Market year,2022,9365,Thousand,Number of cows,Dairy,Livestock/Dairy
2307,Market year,2022,18.4,Dollars per hundredweight,All milk price,Dairy,Livestock/Dairy
2308,Market year,2022,24305,Pounds,Milk per cow,Dairy,Livestock/Dairy
2309,Market year,2022,228,Billion pounds,Milk production,Dairy,Livestock/Dairy
2310,Market year,2022,223,Billion pounds,Commercial use: Milkfat basis,Dairy,Livestock/Dairy
2311,Market year,2022,183,Billion pounds,Commercial use: Skim solids,Dairy,Livestock/Dairy
2312,Calendar year,2022,289.1,Number per capita,Per capita disappearance,Egg,Livestock/Dairy
2313,Calendar year,2022,33,Million dozen,Beginning stocks,Egg,Livestock/Dairy
2314,Calendar year,2022,33,Million dozen,Ending stocks,Egg,Livestock/Dairy
2315,Calendar year,2022,16,Million dozen,Imports,Egg,Livestock/Dairy
2316,Calendar year,2022,9578,Million dozen,Production,Egg,Livestock/Dairy
2317,Calendar year,2022,9625,Million dozen,Total supply,Egg,Livestock/Dairy
2318,Calendar year,2022,8133,Million dozen,Disappearance,Egg,Livestock/Dairy
2319,Calendar year,2022,1106,Million dozen,Hatching use,Egg,Livestock/Dairy
2320,Calendar year,2022,355,Million dozen,Exports,Egg,Livestock/Dairy
2321,Calendar year,2022,104.3,Cents per dozen,"Eggs, farm price",Egg,Livestock/Dairy
2322,Calendar year,2022,121.3,Cents per dozen,"New York, Grade A large price",Egg,Livestock/Dairy
2323,Calendar year,2022,55.9,Pounds per capita,Beef,"Per capita meat consumption, retail weight",Livestock/Dairy
2324,Calendar year,2022,96,Pounds per capita,Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy
2325,Calendar year,2022,1.1,Pounds per capita,Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy
2326,Calendar year,2022,106.2,Pounds per capita,Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy
2327,Calendar year,2022,1.4,Pounds per capita,Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy
2328,Calendar year,2022,49,Pounds per capita,Pork,"Per capita meat consumption, retail weight",Livestock/Dairy
2329,Calendar year,2022,15.5,Pounds per capita,Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy
2330,Calendar year,2022,0.2,Pounds per capita,Veal,"Per capita meat consumption, retail weight",Livestock/Dairy
2331,Calendar year,2022,112.8,Pounds per capita,Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2332,Calendar year,2022,219.1,Pounds per capita,Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2333,Calendar year,2022,80250,Thousand head,"Hog inventory Dec. 1, previous year",Pork,Livestock/Dairy
2334,Calendar year,2022,59.83,Dollars per hundredweight,"Hogs, farm price",Pork,Livestock/Dairy
2335,Calendar year,2022,53.68,Dollars per hundredweight,"National base, live equivalent price",Pork,Livestock/Dairy
2336,Calendar year,2022,575,Million pounds,Beginning stocks,Pork,Livestock/Dairy
2337,Calendar year,2022,610,Million pounds,Ending stocks,Pork,Livestock/Dairy
2338,Calendar year,2022,950,Million pounds,Imports,Pork,Livestock/Dairy
2339,Calendar year,2022,27791,Million pounds,Commercial production,Pork,Livestock/Dairy
2340,Calendar year,2022,14,Million pounds,Farm production,Pork,Livestock/Dairy
2341,Calendar year,2022,27805,Million pounds,Total production,Pork,Livestock/Dairy
2342,Calendar year,2022,29330,Million pounds,Total supply,Pork,Livestock/Dairy
2343,Calendar year,2022,21333,Million pounds,Total disappearance,Pork,Livestock/Dairy
2344,Calendar year,2022,7387,Million pounds,Exports,Pork,Livestock/Dairy
2345,Calendar year,2022,70.2,Cents per pound,"Turkey, farm price",Turkey,Livestock/Dairy
2346,Calendar year,2022,106,Cents per pound,"Hen turkeys, National price",Turkey,Livestock/Dairy
2347,Calendar year,2022,230,Million pounds,Beginning stocks,Turkey,Livestock/Dairy
2348,Calendar year,2022,235,Million pounds,Ending stocks,Turkey,Livestock/Dairy
2349,Calendar year,2022,5832,Million pounds,Production,Turkey,Livestock/Dairy
2350,Calendar year,2022,6080,Million pounds,Total supply,Turkey,Livestock/Dairy
2351,Calendar year,2022,5222,Million pounds,Disappearance,Turkey,Livestock/Dairy
2352,Calendar year,2022,622,Million pounds,Exports,Turkey,Livestock/Dairy
2353,Calendar year,2023,30824,Thousand head,Beef cow inventory,Beef,Livestock/Dairy
2354,Calendar year,2023,93632,Thousand head,Cattle inventory,Beef,Livestock/Dairy
2355,Calendar year,2023,40236,Thousand head,Total cow inventory,Beef,Livestock/Dairy
2356,Calendar year,2023,117.39,Dollars per hundredweight,"Steers, 5-area price",Beef,Livestock/Dairy
2357,Calendar year,2023,117.71,Dollars per hundredweight,"Beef cattle, farm price",Beef,Livestock/Dairy
2358,Calendar year,2023,166,Dollars per hundredweight,"Calves, farm price",Beef,Livestock/Dairy
2359,Calendar year,2023,148.16,Dollars per hundredweight,"Feeder steers, Oklahoma City price",Beef,Livestock/Dairy
2360,Calendar year,2023,650,Million pounds,Beginning stocks,Beef,Livestock/Dairy
2361,Calendar year,2023,650,Million pounds,Ending stocks,Beef,Livestock/Dairy
2362,Calendar year,2023,3133,Million pounds,Imports,Beef,Livestock/Dairy
2363,Calendar year,2023,27246,Million pounds,Commercial production,Beef,Livestock/Dairy
2364,Calendar year,2023,69,Million pounds,Farm production,Beef,Livestock/Dairy
2365,Calendar year,2023,27315,Million pounds,Total production,Beef,Livestock/Dairy
2366,Calendar year,2023,31098,Million pounds,Total supply,Beef,Livestock/Dairy
2367,Calendar year,2023,27370,Million pounds,Total disappearance,Beef,Livestock/Dairy
2368,Calendar year,2023,3078,Million pounds,Exports,Beef,Livestock/Dairy
2369,Calendar year,2023,85.5,Cents per pound,National composite price,Chicken,Livestock/Dairy
2370,Calendar year,2023,43.7,Cents per pound,"Broilers, farm price",Chicken,Livestock/Dairy
2371,Calendar year,2023,958,Million pounds,Beginning stocks,Chicken,Livestock/Dairy
2372,Calendar year,2023,970,Million pounds,Ending stocks,Chicken,Livestock/Dairy
2373,Calendar year,2023,46242,Million pounds,Federally inspected slaughter,Chicken,Livestock/Dairy
2374,Calendar year,2023,45747,Million pounds,Production,Chicken,Livestock/Dairy
2375,Calendar year,2023,46852,Million pounds,Total supply,Chicken,Livestock/Dairy
2376,Calendar year,2023,38282,Million pounds,Disappearance,Chicken,Livestock/Dairy
2377,Calendar year,2023,7599,Million pounds,Exports,Chicken,Livestock/Dairy
2378,Market year,2023,9375,Thousand,Number of cows,Dairy,Livestock/Dairy
2379,Market year,2023,17.95,Dollars per hundredweight,All milk price,Dairy,Livestock/Dairy
2380,Market year,2023,24560,Pounds,Milk per cow,Dairy,Livestock/Dairy
2381,Market year,2023,230,Billion pounds,Milk production,Dairy,Livestock/Dairy
2382,Market year,2023,225,Billion pounds,Commercial use: Milkfat basis,Dairy,Livestock/Dairy
2383,Market year,2023,185,Billion pounds,Commercial use: Skim solids,Dairy,Livestock/Dairy
2384,Calendar year,2023,292.6,Number per capita,Per capita disappearance,Egg,Livestock/Dairy
2385,Calendar year,2023,33,Million dozen,Beginning stocks,Egg,Livestock/Dairy
2386,Calendar year,2023,34,Million dozen,Ending stocks,Egg,Livestock/Dairy
2387,Calendar year,2023,16,Million dozen,Imports,Egg,Livestock/Dairy
2388,Calendar year,2023,9750,Million dozen,Production,Egg,Livestock/Dairy
2389,Calendar year,2023,9799,Million dozen,Total supply,Egg,Livestock/Dairy
2390,Calendar year,2023,8287,Million dozen,Disappearance,Egg,Livestock/Dairy
2391,Calendar year,2023,1109,Million dozen,Hatching use,Egg,Livestock/Dairy
2392,Calendar year,2023,370,Million dozen,Exports,Egg,Livestock/Dairy
2393,Calendar year,2023,103.5,Cents per dozen,"Eggs, farm price",Egg,Livestock/Dairy
2394,Calendar year,2023,120.4,Cents per dozen,"New York, Grade A large price",Egg,Livestock/Dairy
2395,Calendar year,2023,56.4,Pounds per capita,Beef,"Per capita meat consumption, retail weight",Livestock/Dairy
2396,Calendar year,2023,96.7,Pounds per capita,Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy
2397,Calendar year,2023,1.1,Pounds per capita,Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy
2398,Calendar year,2023,107.1,Pounds per capita,Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy
2399,Calendar year,2023,1.4,Pounds per capita,Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy
2400,Calendar year,2023,49.4,Pounds per capita,Pork,"Per capita meat consumption, retail weight",Livestock/Dairy
2401,Calendar year,2023,15.4,Pounds per capita,Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy
2402,Calendar year,2023,0.2,Pounds per capita,Veal,"Per capita meat consumption, retail weight",Livestock/Dairy
2403,Calendar year,2023,113.5,Pounds per capita,Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2404,Calendar year,2023,220.6,Pounds per capita,Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2405,Calendar year,2023,80688,Thousand head,"Hog inventory Dec. 1, previous year",Pork,Livestock/Dairy
2406,Calendar year,2023,59.31,Dollars per hundredweight,"Hogs, farm price",Pork,Livestock/Dairy
2407,Calendar year,2023,53.21,Dollars per hundredweight,"National base, live equivalent price",Pork,Livestock/Dairy
2408,Calendar year,2023,610,Million pounds,Beginning stocks,Pork,Livestock/Dairy
2409,Calendar year,2023,620,Million pounds,Ending stocks,Pork,Livestock/Dairy
2410,Calendar year,2023,954,Million pounds,Imports,Pork,Livestock/Dairy
2411,Calendar year,2023,28099,Million pounds,Commercial production,Pork,Livestock/Dairy
2412,Calendar year,2023,14,Million pounds,Farm production,Pork,Livestock/Dairy
2413,Calendar year,2023,28113,Million pounds,Total production,Pork,Livestock/Dairy
2414,Calendar year,2023,29677,Million pounds,Total supply,Pork,Livestock/Dairy
2415,Calendar year,2023,21634,Million pounds,Total disappearance,Pork,Livestock/Dairy
2416,Calendar year,2023,7424,Million pounds,Exports,Pork,Livestock/Dairy
2417,Calendar year,2023,69.5,Cents per pound,"Turkey, farm price",Turkey,Livestock/Dairy
2418,Calendar year,2023,104.9,Cents per pound,"Hen turkeys, National price",Turkey,Livestock/Dairy
2419,Calendar year,2023,235,Million pounds,Beginning stocks,Turkey,Livestock/Dairy
2420,Calendar year,2023,236,Million pounds,Ending stocks,Turkey,Livestock/Dairy
2421,Calendar year,2023,5862,Million pounds,Production,Turkey,Livestock/Dairy
2422,Calendar year,2023,6116,Million pounds,Total supply,Turkey,Livestock/Dairy
2423,Calendar year,2023,5229,Million pounds,Disappearance,Turkey,Livestock/Dairy
2424,Calendar year,2023,652,Million pounds,Exports,Turkey,Livestock/Dairy
2425,Calendar year,2024,30944,Thousand head,Beef cow inventory,Beef,Livestock/Dairy
2426,Calendar year,2024,93757,Thousand head,Cattle inventory,Beef,Livestock/Dairy
2427,Calendar year,2024,40376,Thousand head,Total cow inventory,Beef,Livestock/Dairy
2428,Calendar year,2024,116.52,Dollars per hundredweight,"Steers, 5-area price",Beef,Livestock/Dairy
2429,Calendar year,2024,116.84,Dollars per hundredweight,"Beef cattle, farm price",Beef,Livestock/Dairy
2430,Calendar year,2024,165.25,Dollars per hundredweight,"Calves, farm price",Beef,Livestock/Dairy
2431,Calendar year,2024,147.49,Dollars per hundredweight,"Feeder steers, Oklahoma City price",Beef,Livestock/Dairy
2432,Calendar year,2024,650,Million pounds,Beginning stocks,Beef,Livestock/Dairy
2433,Calendar year,2024,650,Million pounds,Ending stocks,Beef,Livestock/Dairy
2434,Calendar year,2024,3166,Million pounds,Imports,Beef,Livestock/Dairy
2435,Calendar year,2024,27454,Million pounds,Commercial production,Beef,Livestock/Dairy
2436,Calendar year,2024,69,Million pounds,Farm production,Beef,Livestock/Dairy
2437,Calendar year,2024,27523,Million pounds,Total production,Beef,Livestock/Dairy
2438,Calendar year,2024,31339,Million pounds,Total supply,Beef,Livestock/Dairy
2439,Calendar year,2024,27579,Million pounds,Total disappearance,Beef,Livestock/Dairy
2440,Calendar year,2024,3111,Million pounds,Exports,Beef,Livestock/Dairy
2441,Calendar year,2024,86.8,Cents per pound,National composite price,Chicken,Livestock/Dairy
2442,Calendar year,2024,44.3,Cents per pound,"Broilers, farm price",Chicken,Livestock/Dairy
2443,Calendar year,2024,970,Million pounds,Beginning stocks,Chicken,Livestock/Dairy
2444,Calendar year,2024,983,Million pounds,Ending stocks,Chicken,Livestock/Dairy
2445,Calendar year,2024,46843,Million pounds,Federally inspected slaughter,Chicken,Livestock/Dairy
2446,Calendar year,2024,46342,Million pounds,Production,Chicken,Livestock/Dairy
2447,Calendar year,2024,47470,Million pounds,Total supply,Chicken,Livestock/Dairy
2448,Calendar year,2024,38757,Million pounds,Disappearance,Chicken,Livestock/Dairy
2449,Calendar year,2024,7730,Million pounds,Exports,Chicken,Livestock/Dairy
2450,Market year,2024,9375,Thousand,Number of cows,Dairy,Livestock/Dairy
2451,Market year,2024,17.6,Dollars per hundredweight,All milk price,Dairy,Livestock/Dairy
2452,Market year,2024,24865,Pounds,Milk per cow,Dairy,Livestock/Dairy
2453,Market year,2024,233,Billion pounds,Milk production,Dairy,Livestock/Dairy
2454,Market year,2024,228,Billion pounds,Commercial use: Milkfat basis,Dairy,Livestock/Dairy
2455,Market year,2024,186,Billion pounds,Commercial use: Skim solids,Dairy,Livestock/Dairy
2456,Calendar year,2024,295.9,Number per capita,Per capita disappearance,Egg,Livestock/Dairy
2457,Calendar year,2024,34,Million dozen,Beginning stocks,Egg,Livestock/Dairy
2458,Calendar year,2024,35,Million dozen,Ending stocks,Egg,Livestock/Dairy
2459,Calendar year,2024,16,Million dozen,Imports,Egg,Livestock/Dairy
2460,Calendar year,2024,9924,Million dozen,Production,Egg,Livestock/Dairy
2461,Calendar year,2024,9974,Million dozen,Total supply,Egg,Livestock/Dairy
2462,Calendar year,2024,8437,Million dozen,Disappearance,Egg,Livestock/Dairy
2463,Calendar year,2024,1112,Million dozen,Hatching use,Egg,Livestock/Dairy
2464,Calendar year,2024,390,Million dozen,Exports,Egg,Livestock/Dairy
2465,Calendar year,2024,107.4,Cents per dozen,"Eggs, farm price",Egg,Livestock/Dairy
2466,Calendar year,2024,124.9,Cents per dozen,"New York, Grade A large price",Egg,Livestock/Dairy
2467,Calendar year,2024,56.4,Pounds per capita,Beef,"Per capita meat consumption, retail weight",Livestock/Dairy
2468,Calendar year,2024,97.3,Pounds per capita,Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy
2469,Calendar year,2024,1.1,Pounds per capita,Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy
2470,Calendar year,2024,107.3,Pounds per capita,Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy
2471,Calendar year,2024,1.4,Pounds per capita,Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy
2472,Calendar year,2024,49.6,Pounds per capita,Pork,"Per capita meat consumption, retail weight",Livestock/Dairy
2473,Calendar year,2024,15.3,Pounds per capita,Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy
2474,Calendar year,2024,0.2,Pounds per capita,Veal,"Per capita meat consumption, retail weight",Livestock/Dairy
2475,Calendar year,2024,114,Pounds per capita,Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2476,Calendar year,2024,221.3,Pounds per capita,Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy
2477,Calendar year,2024,81236,Thousand head,"Hog inventory Dec. 1, previous year",Pork,Livestock/Dairy
2478,Calendar year,2024,59.73,Dollars per hundredweight,"Hogs, farm price",Pork,Livestock/Dairy
2479,Calendar year,2024,53.58,Dollars per hundredweight,"National base, live equivalent price",Pork,Livestock/Dairy
2480,Calendar year,2024,620,Million pounds,Beginning stocks,Pork,Livestock/Dairy
2481,Calendar year,2024,630,Million pounds,Ending stocks,Pork,Livestock/Dairy
2482,Calendar year,2024,959,Million pounds,Imports,Pork,Livestock/Dairy
2483,Calendar year,2024,28349,Million pounds,Commercial production,Pork,Livestock/Dairy
2484,Calendar year,2024,14,Million pounds,Farm production,Pork,Livestock/Dairy
2485,Calendar year,2024,28363,Million pounds,Total production,Pork,Livestock/Dairy
2486,Calendar year,2024,29942,Million pounds,Total supply,Pork,Livestock/Dairy
2487,Calendar year,2024,21851,Million pounds,Total disappearance,Pork,Livestock/Dairy
2488,Calendar year,2024,7461,Million pounds,Exports,Pork,Livestock/Dairy
2489,Calendar year,2024,69.9,Cents per pound,"Turkey, farm price",Turkey,Livestock/Dairy
2490,Calendar year,2024,105.5,Cents per pound,"Hen turkeys, National price",Turkey,Livestock/Dairy
2491,Calendar year,2024,236,Million pounds,Beginning stocks,Turkey,Livestock/Dairy
2492,Calendar year,2024,235,Million pounds,Ending stocks,Turkey,Livestock/Dairy
2493,Calendar year,2024,5880,Million pounds,Production,Turkey,Livestock/Dairy
2494,Calendar year,2024,6136,Million pounds,Total supply,Turkey,Livestock/Dairy
2495,Calendar year,2024,5231,Million pounds,Disappearance,Turkey,Livestock/Dairy
2496,Calendar year,2024,670,Million pounds,Exports,Turkey,Livestock/Dairy
2497,Calendar year,2025,31079,Thousand head,Beef cow inventory,Beef,Livestock/Dairy
2498,Calendar year,2025,94114,Thousand head,Cattle inventory,Beef,Livestock/Dairy
2499,Calendar year,2025,40532,Thousand head,Total cow inventory,Beef,Livestock/Dairy
2500,Calendar year,2025,114.61,Dollars per hundredweight,"Steers, 5-area price",Beef,Livestock/Dairy
2501,Calendar year,2025,114.92,Dollars per hundredweight,"Beef cattle, farm price",Beef,Livestock/Dairy
2502,Calendar year,2025,162.59,Dollars per hundredweight,"Calves, farm price",Beef,Livestock/Dairy
2503,Calendar year,2025,145.12,Dollars per hundredweight,"Feeder steers, Oklahoma City price",Beef,Livestock/Dairy
2504,Calendar year,2025,650,Million pounds,Beginning stocks,Beef,Livestock/Dairy
2505,Calendar year,2025,650,Million pounds,Ending stocks,Beef,Livestock/Dairy
2506,Calendar year,2025,3208,Million pounds,Imports,Beef,Livestock/Dairy
2507,Calendar year,2025,27766,Million pounds,Commercial production,Beef,Livestock/Dairy
2508,Calendar year,2025,69,Million pounds,Farm production,Beef,Livestock/Dairy
2509,Calendar year,2025,27835,Million pounds,Total production,Beef,Livestock/Dairy
2510,Calendar year,2025,31693,Million pounds,Total supply,Beef,Livestock/Dairy
2511,Calendar year,2025,27891,Million pounds,Total disappearance,Beef,Livestock/Dairy
2512,Calendar year,2025,3152,Million pounds,Exports,Beef,Livestock/Dairy
2513,Calendar year,2025,88,Cents per pound,National composite price,Chicken,Livestock/Dairy
2514,Calendar year,2025,45,Cents per pound,"Broilers, farm price",Chicken,Livestock/Dairy
2515,Calendar year,2025,983,Million pounds,Beginning stocks,Chicken,Livestock/Dairy
2516,Calendar year,2025,996,Million pounds,Ending stocks,Chicken,Livestock/Dairy
2517,Calendar year,2025,47478,Million pounds,Federally inspected slaughter,Chicken,Livestock/Dairy
2518,Calendar year,2025,46970,Million pounds,Production,Chicken,Livestock/Dairy
2519,Calendar year,2025,48109,Million pounds,Total supply,Chicken,Livestock/Dairy
2520,Calendar year,2025,39255,Million pounds,Disappearance,Chicken,Livestock/Dairy
2521,Calendar year,2025,7858,Million pounds,Exports,Chicken,Livestock/Dairy
2522,Market year,2025,9370,Thousand,Number of cows,Dairy,Livestock/Dairy
2523,Market year,2025,17.6,Dollars per hundredweight,All milk price,Dairy,Livestock/Dairy
2524,Market year,2025,25040,Pounds,Milk per cow,Dairy,Livestock/Dairy
2525,Market year,2025,235,Billion pounds,Milk production,Dairy,Livestock/Dairy
2526,Market year,2025,229,Billion pounds,Commercial use: Milkfat basis,Dairy,Livestock/Dairy
2527,Market year,2025,187,Billion pounds,Commercial use: Skim solids,Dairy,Livestock/Dairy
2528,Calendar year,2025,299.3,Number per capita,Per capita disappearance,Egg,Livestock/Dairy
2529,Calendar year,2025,35,Million dozen,Beginning stocks,Egg,Livestock/Dairy
2530,Calendar year,2025,36,Million dozen,Ending stocks,Egg,Livestock/Dairy
2531,Calendar year,2025,16,Million dozen,Imports,Egg,Livestock/Dairy
2532,Calendar year,2025,10098,Million dozen,Production,Egg,Livestock/Dairy
2533,Calendar year,2025,10149,Million dozen,Total supply,Egg,Livestock/Dairy
2534,Calendar year,2025,8592,Million dozen,Disappearance,Egg,Livestock/Dairy
2535,Calendar year,2025,1116,Million dozen,Hatching use,Egg,Livestock/Dairy
2536,Calendar year,2025,405,Million dozen,Exports,Egg,Livestock/Dairy
2537,Calendar year,2025,109.3,Cents per dozen,"Eggs, farm price",Egg,Livestock/Dairy
2538,Calendar year,2025,127.1,Cents per dozen,"New York, Grade A large price",Egg,Livestock/Dairy
2539,Calendar year,2025,56.7,Pounds per capita,Beef,"Per capita meat consumption, retail weight",Livestock/Dairy
2540,Calendar year,2025,97.9,Pounds per capita,Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy
2541,Calendar year,2025,1.1,Pounds per capita,Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy
2542,Calendar year,2025,108.2,Pounds per capita,Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy
2543,Calendar year,2025,1.4,Pounds per capita,Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy
